epoch,year,title,episode,leecher,size,path,tags
Studio Ghibli,2001,Spirited Away~Sen to Chihiro no Kamikakushi,12,[NoobSubs] ,3864677171,/home/pi/Videos/movies/Studio Ghibli/(2001) Spirited Away~Sen to Chihiro no Kamikakushi (720p Blu-ray 8bit Dual Audio) [NoobSubs] [FAE6635D].mkv,1 3 5
Studio Ghibli,2002,The Cat Returns~Neko no Ongaeshi,13,[NoobSubs] ,2303845072,/home/pi/Videos/movies/Studio Ghibli/(2002) The Cat Returns~Neko no Ongaeshi (720p Blu-ray 8bit Dual Audio) [NoobSubs] [F9F6418B].mkv,1 3 5
Studio Ghibli,2004,Howl's Moving Castle~Howl no Ugoku Shiro,14,[NoobSubs] ,4118997909,/home/pi/Videos/movies/Studio Ghibli/(2004) Howl's Moving Castle~Howl no Ugoku Shiro (720p Blu-ray 8bit Dual Audio) [NoobSubs] [75B74076].mkv,1 3 5
Studio Ghibli,2006,Tales from Earthsea~Gedo Senki ,15,[NoobSubs] ,2908659087,/home/pi/Videos/movies/Studio Ghibli/(2006) Tales from Earthsea~Gedo Senki (720p Blu-ray 8bit Dual Audio) [NoobSubs] [D683446C].mkv,1 3 5
Studio Ghibli,2008,Ponyo on the Cliff by the Sea~Gake no Ue no Ponyo ,16,[NoobSubs] ,3772169587,/home/pi/Videos/movies/Studio Ghibli/(2008) Ponyo on the Cliff by the Sea~Gake no Ue no Ponyo (720p Blu-ray 8bit Dual Audio) [NoobSubs] [DD07D01E].mkv,1 3 5
Studio Ghibli,2010,The Secret World of Arrietty~Karigurashi no Arrietty ,17,[NoobSubs] ,2557865935,/home/pi/Videos/movies/Studio Ghibli/(2010) The Secret World of Arrietty~Karigurashi no Arrietty (720p Blu-ray 8bit Dual Audio) [NoobSubs] [E715EAC0].mkv,1 3 5
Studio Ghibli,2011, From Up On Poppy Hill~Kokuriko-zaka Kara,18,[NoobSubs] ,2368662808,/home/pi/Videos/movies/Studio Ghibli/(2011) From Up On Poppy Hill~Kokuriko-zaka Kara (720p Blu-ray 8bit AAC) [NoobSubs] [95813CBF].mkv,1 3 5
Studio Ghibli,2013,The Tale of the Princess Kaguya~Kaguya-hime no Monogatari,19,[NoobSubs] ,3570290080,/home/pi/Videos/movies/Studio Ghibli/(2013) The Tale of the Princess Kaguya~Kaguya-hime no Monogatari (720p Blu-ray 8bit Dual Audio) [NoobSubs] [0E196B20].mkv,1 3 5
Studio Ghibli,2013,The Wind Rises~Kaze Tachinu,20,[NoobSubs] ,2904194880,/home/pi/Videos/movies/Studio Ghibli/(2013) The Wind Rises~Kaze Tachinu (720p Blu-ray 8bit Dual Audio) [NoobSubs] [14C83088].mkv,1 3 5
Studio Ghibli,2014,When Marnie Was There~Omoide no Marnie,21,[NoobSubs] ,2582921893,/home/pi/Videos/movies/Studio Ghibli/(2014) When Marnie Was There~Omoide no Marnie (720p Blu-ray 8bit Dual Audio) [NoobSubs] [79304891].mkv,1 3 5
Studio Ghibli,1984,Nausicaä of the Valley of the Wind,22,[NoobSubs] ,6010595779,/home/pi/Videos/movies/Studio Ghibli/Noob Subs(1984) Nausicaä of the Valley of the Wind~Kaze no Tani no Nausicaä (720p Blu-ray 8bit Dual Audio) [NoobSubs] [86760B55].mkv,1 3 5
unknown yet,2021,Mortal.Kombat,1,XviD.AC3-EVO.avi,676570545,/home/pi/Videos/smhconverted/Mortal.Kombat 2021.mp4,1 21
unknown yet,2016,The.Greasy.Strangler,1,BRRip.XviD.AC3-EVO.avi,547995085,/home/pi/Videos/smhconverted/The.Greasy.Strangler 2016.mp4,1 21
unknown yet,1966,Seconds,1,idk.avi,529048075,/home/pi/Videos/smhconverted/Seconds 1966 idk.mp4,1 21 5
unknown yet,0,Wizards.by.Ralph.Bakshi,1,idk.avi,680417973,/home/pi/Videos/smhconverted/Wizards.Ralph.Bakshi's 0000 idk.mp4,1 3 5
unknown yet,1982,Liquid.Sky.cd1,1,pennsylvania.avi,279578128,/home/pi/Videos/smhconverted/Liquid SKy/Liquid.Sky.cd1 1982 penny.mp4,1 21
unknown yet,1982,Liquid.Sky.cd2,2,pennsylvania.avi,273231514,/home/pi/Videos/smhconverted/Liquid SKy/Liquid.Sky.cd2 1982 pennsylvania.mp4,1 21
unknown yet,2021,Fast.And.Furious.9,9,SomeCoontS.avi,914307422,/home/pi/Videos/smhconverted/Fast And Furious/Fast.and.Furious.9 2021.mp4,1 21 8
Invasion of the Body Snatchers,1978,Invasion.of.the.Body.Snatchers,2,VPPV.mp4,1037890971,/home/pi/Videos/smhconverted/Invasion of the Body Snatchers/Invasion.of.the.Body.Snatchers 1978 VPPV.mp4,1 21
Invasion of the Body Snatchers,1956,Invasion.of.the.Body.Snatchers,1,[Don,437858385,/home/pi/Videos/smhconverted/Invasion of the Body Snatchers/Invasion.Of.The.Snatchers 1956.mp4,1 21
Hitmans Bodyguard,2017,The.Hitmans.Bodyguard,1,XviD.AC3-EVO.avi,823570034,/home/pi/Videos/smhconverted/Hitmans Bodyguard/The.Hitmans.Bodyguard 2017 idk.mp4,1 21 8
Hitmans Bodyguard,2021,The.Hitmans.Wifes.Bodyguard,2,XviD-EVO.avi,434617120,/home/pi/Videos/smhconverted/Hitmans Bodyguard/The.Hitmans.Wife 2021.mp4,1 21 8
The Purge,2021,The.Forever.Purge,1,AC3.EVO.avi,693471150,/home/pi/Videos/smhconverted/The Purge/The.Forever.Purge 2021 AC3.EVO.mp4,1 21 8
